question,section,passage,book_difficulty,book_concept,page,explanation_page,oa,gmatclub_id,gmatclub_difficulty,gmatclub_percentile,gmatclub_category
311,DS,,Easy,Evaluation,262,291,C,101077,Very Hard,0.75,Non-Math Related
312,DS,,Easy,Inference,262,292,E,101078,Easy,0.05,Non-Math Related
313,DS,,Easy,Inference,262,292,C,101079,Easy,0.05,Word Problems
314,DS,,Easy,Applied Problems,262,292,A,101080,Easy,0.05,Word Problems
315,DS,,Easy,Applied Problems,262,293,E,101081,Very Hard,0.95,Distance and Speed Problems
316,DS,,Easy,Applied Problems,262,293,A,101082,Medium,0.45,Percent and Interest Problems
317,DS,,Easy,Applied Problems,262,294,C,101083,Easy,0.15,Fractions and Ratios; Mixture Problems
318,DS,,Easy,Applied Problems,262,294,C,101084,Medium,0.45,Distance and Speed Problems
319,DS,,Easy,Applied Problems,263,295,A,101085,Medium,0.25,Work and Rate Problems
320,DS,,Medium,Simultaneous Equations,263,295,C,100792,Easy,0.05,Word Problems
321,DS,,Medium,Simultaneous Equations,263,295,C,100279,Easy,0.05,Word Problems
322,DS,,Medium,Simultaneous Equations,263,296,D,100280,Easy,0.05,Word Problems
323,DS,,Medium,Ratios; Simultaneous Equations,263,296,A,100281,Easy,0.15,Fractions and Ratios
324,DS,,Medium,Ratios,263,297,B,100284,Hard,0.65,Fractions and Ratios; Word Problems
325,DS,,Medium,Simultaneous Equations,263,297,D,100286,Easy,0.05,Word Problems
326,DS,,Medium,Applied Problems; Proportions,263,297,E,100975,Medium,0.25,Word Problems
327,DS,,Medium,Place Value,263,298,D,102052,Medium,0.25,Arithmetic
328,DS,,Medium,Ratio and Proportion,264,298,A,102053,Medium,0.25,Word Problems; Fractions and Ratios
329,DS,,Medium,Applied Problems,264,299,C,100210,Easy,0.15,Word Problems
330,DS,,Medium,Percents,264,299,B,102054,Hard,0.55,Statistics and Sets Problems; Word Problems
331,DS,,Medium,Statistics,264,300,B,102055,Medium,0.35,Word Problems
332,DS,,Medium,First-Degree Equations,264,300,D,100228,Hard,0.55,Mixture Problems
333,DS,,Medium,Simultaneous Equations,264,300,B,100278,Easy,0.15,Word Problems
334,DS,,Medium,Operations with Integers; Order,264,301,C,100190,Medium,0.35,Word Problems
335,DS,,Medium,Statistics,264,301,B,102056,Easy,0.15,Percent and Interest Problems
336,DS,,Medium,Statistics,264,301,B,102057,Easy,0.15,Overlapping Sets
337,DS,,Medium,Applied Problems,264,302,E,100724,Easy,0.15,Word Problems
338,DS,,Medium,Applied Problems,265,302,A,100680,Medium,0.25,Distance and Speed Problems; Non-Math Related
339,DS,,Medium,Sets,265,303,E,100897,Easy,0.15,Overlapping Sets
340,DS,,Medium,First-Degree Equations,265,303,C,100230,Easy,0.05,Word Problems
341,DS,,Medium,Computation with Integers,265,304,E,100813,Medium,0.45,Word Problems
342,DS,,Medium,Applied Problems,265,304,D,100873,Medium,0.25,Fractions and Ratios
343,DS,,Medium,Simultaneous Equations,265,304,D,102058,Easy,0.05,Word Problems
344,DS,,Medium,Inequalities,265,305,C,100171,Medium,0.25,Word Problems
345,DS,,Medium,Applied Problems; Percents,265,305,C,100825,Easy,0.15,Word Problems; Percent and Interest Problems
346,DS,,Medium,Applied Problems; Percents,266,306,E,100972,Medium,0.45,Percent and Interest Problems; Word Problems
347,DS,,Medium,Computation with Integers,266,306,D,100670,Medium,0.35,Number Properties
348,DS,,Medium,Applied Problems,266,307,B,100155,Medium,0.35,Word Problems
349,DS,,Medium,Statistics,266,307,B,100857,Medium,0.25,Word Problems
350,DS,,Medium,Applied Problems,266,308,D,100207,Hard,0.55,Word Problems
351,DS,,Medium,Statistics,266,308,A,100895,Hard,0.55,Statistics and Sets Problems
352,DS,,Medium,Properties of Integers,266,308,C,100215,Medium,0.45,Word Problems
353,DS,,Medium,Applied Problems,266,309,A,101086,Easy,0.15,Word Problems
354,DS,,Medium,Inference,266,309,B,101087,Hard,0.65,Word Problems
355,DS,,Medium,Applied Problems,267,310,E,101088,Easy,0.15,Statistics and Sets Problems
356,DS,,Medium,Applied Problems,267,310,A,101089,Very Hard,0.75,Mixture Problems
357,DS,,Medium,Evaluation,267,311,C,101090,Easy,0.05,Probability
358,DS,,Medium,Applied Problems,267,311,D,101091,Hard,0.55,Work and Rate Problems
359,DS,,Medium,Inference,267,311,E,101092,Medium,0.35,Non-Math Related
360,DS,,Medium,Applied Problems,267,312,C,101093,Very Hard,0.95,Mixture Problems
361,DS,,Medium,Applied Problems,267,312,C,101094,Medium,0.45,Percent and Interest Problems; Word Problems
362,DS,,Medium,Applied Problems,268,313,D,101095,Medium,0.25,Word Problems
363,DS,,Hard,Percents,268,314,C,100673,Medium,0.25,Word Problems
364,DS,,Hard,Sets,268,314,D,100755,Easy,0.15,Overlapping Sets
365,DS,,Hard,Percents,268,315,C,100239,Easy,0.15,Word Problems
366,DS,,Hard,Probability,268,315,B,100806,Easy,0.15,Probability
367,DS,,Hard,Applied Problems,268,315,B,100874,Easy,0.15,Word Problems
368,DS,,Hard,Computation with Integers,268,315,C,100758,Medium,0.25,Word Problems
369,DS,,Hard,Applied Problems,268,316,A,100877,Easy,0.15,Word Problems
370,DS,,Hard,Applied Problems,268,316,B,100963,Hard,0.55,Word Problems
371,DS,,Hard,Percents,269,316,B,100204,Medium,0.25,Percent and Interest Problems
372,DS,,Hard,Rate Problems,269,317,A,100905,Medium,0.25,Distance and Speed Problems
373,DS,,Hard,Simultaneous Equations,269,317,C,100277,Medium,0.45,Word Problems
374,DS,,Hard,Statistics,269,318,E,101004,Medium,0.25,Statistics and Sets Problems
375,DS,,Hard,Equations,269,318,D,102059,Medium,0.35,Word Problems
376,DS,,Hard,Simultaneous Equations,269,318,A,100692,Easy,0.15,Word Problems
377,DS,,Hard,Applied Problems,269,319,B,100644,Medium,0.35,Percent and Interest Problems; Word Problems
378,DS,,Hard,Sets,269,319,C,100140,Medium,0.25,Overlapping Sets
379,DS,,Hard,Ratio and Proportion,269,320,D,100662,Medium,0.35,Word Problems
380,DS,,Hard,Inequalities,269,320,B,100536,Hard,0.65,Mixture Problems
381,DS,,Hard,Applied Problems,270,320,E,100248,Easy,0.15,Distance and Speed Problems
382,DS,,Hard,Statistics,270,321,B,100143,Medium,0.35,Statistics and Sets Problems
383,DS,,Hard,Statistics,270,321,C,100695,Easy,0.15,Statistics and Sets Problems
384,DS,,Hard,Applied Problems; Estimating,270,321,E,100996,Medium,0.45,Distance and Speed Problems
385,DS,,Hard,Operations on Rational Numbers,270,322,B,100694,Very Hard,0.85,Fractions and Ratios; Word Problems
386,DS,,Hard,Sets,270,322,A,100853,Hard,0.65,Overlapping Sets
387,DS,,Hard,Properties of Numbers,270,323,B,100540,Very Hard,0.95,Multiples and Factors; Word Problems
388,DS,,Hard,Applied Problems,271,323,B,100715,Very Hard,0.75,Word Problems
389,DS,,Hard,Statistics,271,324,C,100131,Medium,0.35,Statistics and Sets Problems
390,DS,,Hard,Applied Problems,271,324,B,100821,Very Hard,0.95,Word Problems
391,DS,,Hard,Statistics,271,325,C,100698,Very Hard,0.95,Word Problems; Statistics and Sets Problems
392,DS,,Hard,Applied Problems,271,326,E,100249,Easy,0.05,Word Problems
393,DS,,Hard,Proportions,271,326,B,100255,Medium,0.35,Word Problems
394,DS,,Hard,Inference,271,327,A,101021,Very Hard,0.95,Graphs and Illustrations; Statistics and Sets Problems
395,DS,,Hard,Inference,272,327,C,101022,Very Hard,0.75,Statistics and Sets Problems; Word Problems; Non-Math Related
396,DS,,Hard,Inference,272,328,E,101023,Hard,0.55,Word Problems; Non-Math Related
397,DS,,Hard,Inference,272,328,A,101024,Medium,0.35,Word Problems; Non-Math Related
398,DS,,Hard,Inference,272,329,E,101025,Hard,0.55,Inequalities; Non-Math Related; Word Problems
399,DS,,Hard,Inference,272,329,B,101026,Hard,0.55,Word Problems; Non-Math Related
400,DS,,Hard,Inference,272,330,E,101027,Very Hard,0.95,Non-Math Related
401,DS,,Hard,Inference,273,331,B,101028,Very Hard,0.75,Word Problems
402,DS,,Hard,Inference,273,331,C,101029,Very Hard,0.95,Non-Math Related; Word Problems
403,DS,,Hard,Inference,273,332,E,101030,Hard,0.65,Word Problems; Non-Math Related
404,DS,,Hard,Inference,273,332,B,101031,Medium,0.25,Word Problems; Non-Math Related
405,DS,,Hard,Inference,273,333,D,101032,Hard,0.55,Word Problems; Non-Math Related
406,DS,,Hard,Exponents,273,333,,102060,Medium,0.25,Exponents; Word Problems
407,DS,,Hard,Statistics,274,334,D,102061,Very Hard,0.75,Word Problems; Statistics and Sets Problems
408,DS,,Hard,Percents,274,334,B,102062,Very Hard,0.85,Percent and Interest Problems
409,DS,,Hard,Statistics,274,335,A,102063,Medium,0.25,Statistics and Sets Problems
410,TPA,,Easy,Infer,337,359,Front of Train M: 60; Front of Train N: 65,100354,Easy,0.05,Math Related
411,TPA,,Easy,Apply,337,359,Must participate: RN; Will not participate: UN,100357,Easy,0.15,Non-Math Related
412,TPA,,Easy,Strategize,337,360,Length of Segment A (kilometers): 14; Length of Segment C (kilometers): 42,100359,Medium,0.25,Non-Math Related
413,TPA,,Easy,Apply,338,360,"X: 910; Z: 1,350",100364,Easy,0.05,Math Related
414,TPA,,Easy,Infer,338,361,Sacrifice : Time; Gain : Security,100367,Medium,0.35,Non-Math Related
415,TPA,,Easy,Evaluate,338,362,Passage : To encourage historians not to approach a particular historical event from too narrow a perspective.; Portion in Boldface : To criticize a certain type of argument about a particular historical event.,100373,Very Hard,0.95,Non-Math Related
416,TPA,,Easy,Infer,339,362,Shirts: €47.60; Trousers: €68.20,100377,Easy,0.15,Math Related
417,TPA,,Easy,Apply,339,363,Teams remaining: 16; Rounds completed: 4,100389,Very Hard,0.75,Math Related
418,TPA,,Easy,Apply,339,363,Laszlo among reviewers: 4; Adiliah among reviewers: 4,100390,Very Hard,0.85,Non-Math Related
419,TPA,,Easy,Infer,340,364,Cause: An increase in phytoplankton; Effect: An increase in crown-of-thorns sea stars,100398,Medium,0.45,Non-Math Related
420,TPA,,Easy,Infer,340,365,"Assumption required: The next cup to be recovered from the site will likely be made of porcelain.; Possible fact: Other cups have been recovered from the archaeological site, all of which were made of porcelain.",100399,Very Hard,0.95,Non-Math Related
421,TPA,,Easy,Infer,340,366,Recommends: Change the farm-subsidy system.; Intended result: Improve the overall quality of people's diets.,100429,Medium,0.25,Non-Math Related
422,TPA,,Easy,Infer,341,367,Assertion involving Artifact A: Artifact B is older than Artifact A.; Assertion involving Artifact C: Artifact C is older than Artifact B.,100504,Easy,0.05,Non-Math Related
423,TPA,,Easy,Apply,341,367,Both swan and heron: 0.07; Neither swan nor heron: 0.52,101096,Medium,0.25,Math Related
424,TPA,,Easy,Infer,341,368,X: retention of information from lessons given in rooms occupied for only a short time; Y: retention of information from multiple lessons given in the same room over a period of time,101097,Easy,0.15,Non-Math Related
425,TPA,,Easy,Apply,342,368,3 Blue: 0.090; 3 Red: 0.120,102064,Easy,0.15,Math Related
426,TPA,,Easy,Strategize,342,369,Dr. B and Dr. E: Immunity; Dr. C and Dr. E: Genetics,102065,Easy,0.15,Non-Math Related
427,TPA,,Easy,Recognize,342,370,1: Wednesday; 2: Thursday,102066,Medium,0.35,Non-Math Related
428,TPA,,Medium,Strategize,343,371,Circuit boards: 400; Worker hours: 80,100301,Hard,0.55,Non-Math Related
429,TPA,,Medium,Evaluate,343,371,1: Researchers: tested the children's sense of balance; 2: Prior to: taught dance to the children through the dance program,100307,Medium,0.35,Non-Math Related
430,TPA,,Medium,Recognize,344,372,Klaus: Students’ academic performance; Rena: Extracurricular activities,100308,Medium,0.35,Non-Math Related
431,TPA,,Medium,Infer,344,372,Agree with each other about: Brazil has been very successful at replacing petroleum with ethanol.; Disagree with each other about: Producing corn ethanol is a viable strategy for a nation intent on reducing dependence on petroleum.,100315,Easy,0.15,Non-Math Related
432,TPA,,Medium,Apply,344,373,"Principal remaining after 12 months under Offer 1: $175,000; Principal remaining after 12 months under Offer 2: $172,700",100322,Medium,0.25,Math Related
433,TPA,,Medium,Infer,345,374,Professor A disagrees: The creation of systems that display intelligence regarding specific tasks is an especially important step toward the creation of systems with general intelligence.; Professor B disagrees: Research in the narrow Al field is not likely to lead to significant breakthroughs in the general Al field.,100332,Hard,0.55,Non-Math Related
434,TPA,,Medium,Evaluate,345,375,"Strengthen: Baby birds of coastal-plain subspecies and baby birds of a freshwater swamp subspecies, all raised on an identical diet under controlled conditions, grew plumage similar in color to that of their respective parents.; Weaken: None of the genetic differences that have been identified in the genomes of coastal-plain swamp sparrows and freshwater swamp sparrows affect plumage color.",100355,Hard,0.55,Non-Math Related
435,TPA,,Medium,Apply,346,376,Number of players: 9; Number of minutes: 45,100360,Medium,0.25,Math Related
436,TPA,,Medium,Apply,346,376,"x: 96,000; y: 32,000",100365,Medium,0.35,Math Related
437,TPA,,Medium,Apply,346,377,Shortest time: 1 hour 7 minutes; Longest time: 1 hour 22 minutes,100374,Medium,0.45,Math Related
438,TPA,,Medium,Infer,347,378,Cannot be presented second: Trampoline; Cannot be presented third: Waltzy,100378,Very Hard,0.75,Non-Math Related
439,TPA,,Medium,Apply,347,378,"Painting: Painting of girl’s face, in shades of blue and red, acrylic and oil on canvas, 2006.; Sculpture: Abstract sequence of interconnected curves, ceramic, 2008.",100392,Very Hard,0.85,Non-Math Related
440,TPA,,Medium,Infer,347,379,(1): The aid industry should focus its spending less on primary education than it now does.; (2): Projects in education are more likely to be successful if they are paid for by local people.,100400,Hard,0.65,Non-Math Related
441,TPA,,Medium,Infer,348,380,v_{0} : 5; v_{10} : 20,100401,Hard,0.65,Math Related
442,TPA,,Medium,Infer,348,380,s_{1} : -3; s_{4} : -7,100402,Medium,0.45,Math Related
443,TPA,,Medium,Infer,348,381,First two bars: 0.98; Third bar: 0.92,100426,Hard,0.55,Math Related
444,TPA,,Medium,Infer,348,382,M: 3; N: 6,100444,Hard,0.55,Math Related
445,TPA,,Medium,Evaluate,349,382,1: economic wellbeing after graduating from university; 2: tendency to earn higher grades in university classes,100451,Medium,0.45,Non-Math Related
446,TPA,,Medium,Apply,349,383,Least: 52; Greatest: 53,100474,Medium,0.45,Non-Math Related
447,TPA,,Medium,Infer,349,383,X: A; Y: C,100506,Medium,0.45,Non-Math Related
448,TPA,,Medium,Apply,350,384,Both A and B: Must be less than or equal to 20%; B or C or Both: Must be greater than or equal to 80%,101098,Medium,0.35,Math Related
449,TPA,,Medium,Evaluate,350,385,N/A,102067,Medium,0.35,Math Related
450,TPA,,Medium,Infer,351,386,0.5 km: 3km; 1.5 km: 9km,102068,Medium,0.25,Math Related
451,TPA,,Hard,Infer,351,387,"1: less than 100,000 AED; 2: less than 100,000 AED",102069,Very Hard,0.95,Math Related
452,TPA,,Hard,Infer,351,387,1: impressed the hiring committee during the telephone interview; 2: had extensive experience,102070,Very Hard,0.95,Non-Math Related
453,TPA,,Hard,Infer,352,388,Must vote: Abigail only; Must not vote: Charles only,102071,Very Hard,0.95,Non-Math Related
454,TPA,,Hard,Recognize,352,389,1: less than; 2: at least,102072,Hard,0.55,Non-Math Related
455,TPA,,Hard,Apply,,,"June 1990-June 1995: 1,530; June 2000-June 2005: 4,640",100314,Hard,0.65,Math Related
456,TPA,,Hard,Apply,,,Fifth character: Digit; Seventh character: Digit,100324,Very Hard,0.75,Non-Math Related
457,TPA,,Hard,Infer,353,390,"Adopted: There will be fewer, if any, entirely unmonitored beaches.; Not Adopted: Some beaches will remain entirely unmonitored.",100331,Very Hard,0.75,Non-Math Related
458,TPA,,Hard,Evaluate,353,391,"Marco: Giant kangaroos became extinct during a period that was less arid than previous periods they endured.; Fatima: Many researchers believe humans first arrived in Australia around 40,000 years ago.",100371,Very Hard,0.95,Non-Math Related
459,TPA,,Hard,Strategize,354,392,City X: Eliminate radio advertising; City Z: Eliminate radio advertising,100391,Very Hard,0.95,Non-Math Related
460,TPA,,Hard,Strategize,354,392,​​​​​​​Decrease expenses: Return spending on productions to levels of several years ago; Increase audience size: Mount a local advertising campaign emphasizing the affordability and excitement of Metro Ballet's spectacular stage productions,100403,Hard,0.65,Non-Math Related
461,TPA,,Hard,Apply,355,394,Verbal warning: Absent 4.5 hours on 19 March 2010; stayed 1 hour late on 20 March 2010; absent all day on 8 and 9 February 2011; arrived 40 minutes late on 17 April 2011; Written reprimand: Absent 3 hours on 7 July 2010; absent 2.5 hours on 13 September 2010; absent all day on 31 January 2011 and 4 July 2011; absent 5 hours on 12 March 2011,100404,Very Hard,0.95,Non-Math Related
462,TPA,,Hard,Infer,355,395,(1) If: asks B for a campaign; (2) then: believes the focus group did not respond positively to A's campaign,100428,Hard,0.65,Non-Math Related
463,TPA,,Hard,Infer,355,395,Francois: €750; Pierre: €250,100437,Medium,0.25,Math Related
464,TPA,,Hard,Infer,356,396,"Assumes to be true: McGregor’s height, way of walking, and tendency to wear hats distinguish him from the other groundskeepers.; Assumes to be false: McGregor was the only groundskeeper scheduled to work at the building on Tuesday, July 6.",101099,Very Hard,0.75,Non-Math Related
465,TPA,,Hard,Apply,356,397,All the same type: \frac{1}{55} ; 3 different types: \frac{27}{55},101100,Very Hard,0.95,Math Related
466,TPA,,Hard,Apply,356,398,P: 8; Q: 5,101101,Hard,0.55,Math Related
467,RC,1,Easy,Main Idea,434,501,D,100596,Easy,0.15,Short Passage; Science
468,RC,1,Easy,Supporting Idea,434,501,D,100598,Easy,0.05,Short Passage; Science
469,RC,1,Easy,Application,435,502,B,100597,Easy,0.15,Short Passage; Science
470,RC,2,Easy,Main Idea,436,503,B,100603,Medium,0.45,Business; Short Passage
471,RC,2,Easy,Inference,436,503,C,100604,Medium,0.25,Business; Short Passage
472,RC,2,Easy,Supporting Idea,437,504,C,100605,Easy,0.05,Business; Short Passage
473,RC,3,Easy,Evaluation,438,505,A,100585,Medium,0.45,Short Passage; Science
474,RC,3,Easy,Supporting Idea,439,506,C,100586,Easy,0.05,Short Passage; Science
475,RC,4,Easy,Inference,440,506,D,100541,Easy,0.05,Social Science; Short Passage
476,RC,4,Easy,Application,440,507,C,100542,Easy,0.05,Social Science; Short Passage
477,RC,4,Easy,Supporting Idea,441,508,A,100543,Easy,0.05,Social Science; Short Passage
478,RC,4,Easy,Inference,441,508,C,100544,Medium,0.25,Social Science; Short Passage
479,RC,5,Easy,Inference,442,509,D,102073,Easy,0.05,Science; Long Passage
480,RC,5,Easy,Supporting Idea,442,509,A,102074,Easy,0.15,Science; Long Passage
481,RC,5,Easy,Evaluation,443,510,D,102075,Very Hard,0.95,Science; Long Passage
482,RC,5,Easy,Supporting Idea,443,511,B,102076,Easy,0.15,Science; Long Passage
483,RC,6,Easy,Main Idea,444,511,C,100567,Easy,0.05,Business; Short Passage
484,RC,6,Easy,Inference,444,512,B,100568,Easy,0.05,Business; Short Passage
485,RC,6,Easy,Inference,445,512,B,100569,Medium,0.35,Business; Short Passage
486,RC,6,Easy,Inference,445,513,A,100570,Easy,0.15,Business; Short Passage
487,RC,6,Easy,Evaluation,445,514,D,100571,Hard,0.55,Business; Short Passage
488,RC,7,Easy,Main Idea,446,514,C,100587,Easy,0.15,Business; Short Passage
489,RC,7,Easy,Supporting Idea,446,515,E,100588,Easy,0.15,Business; Short Passage
490,RC,7,Easy,Evaluation,447,515,B,100589,Easy,0.05,Business; Short Passage
491,RC,7,Easy,Supporting Idea,447,516,D,100590,Easy,0.15,Business; Short Passage
492,RC,8,Easy,Supporting Idea,448,517,C,100592,Easy,0.15,Business; Long Passage
493,RC,8,Easy,Evaluation,448,517,B,100593,Easy,0.15,Business; Long Passage
494,RC,8,Easy,Inference,449,518,D,100594,Medium,0.45,Business; Long Passage
495,RC,8,Easy,Supporting Idea,449,518,A,100595,Medium,0.25,Business; Long Passage
496,RC,9,Easy,Supporting Idea,450,519,C,100302,Easy,0.05,Humanities; Social Science; Short Passage
497,RC,9,Easy,Inference,450,520,D,100303,Easy,0.15,Humanities; Social Science; Short Passage
498,RC,9,Easy,Inference,451,520,B,100304,Very Hard,0.75,Humanities; Social Science; Short Passage
499,RC,9,Easy,Supporting Idea,451,521,B,100305,Easy,0.15,Humanities; Social Science; Short Passage
500,RC,10,Easy,Supporting Idea,452,521,C,102077,Easy,0.15,Long Passage; Science
501,RC,10,Easy,Evaluation,452,522,D,102078,Medium,0.25,Long Passage; Science
502,RC,10,Easy,Supporting Idea,452,523,A,102079,Easy,0.05,Long Passage; Science
503,RC,10,Easy,Logical Structure,453,523,D,102080,Easy,0.05,Long Passage; Science
504,RC,10,Easy,Main Idea,453,523,B,102081,Easy,0.05,Long Passage; Science
505,RC,11,Easy,Supporting Idea,454,524,B,100479,Easy,0.05,Science; Long Passage
506,RC,11,Easy,Supporting Idea,454,524,B,100480,Easy,0.05,Science; Long Passage
507,RC,11,Easy,Inference,454,525,D,100481,Easy,0.05,Science; Long Passage
508,RC,11,Easy,Main Idea,454,525,A,100482,Easy,0.05,Science; Long Passage
509,RC,12,Medium,Supporting Idea,455,526,D,100338,Medium,0.35,Long Passage; Humanities
510,RC,12,Medium,Inference,455,526,C,100339,Hard,0.65,Long Passage; Humanities
511,RC,12,Medium,Evaluation,456,527,B,100340,Medium,0.35,Long Passage; Humanities
512,RC,12,Medium,Evaluation,456,528,A,100341,Medium,0.25,Long Passage; Humanities
513,RC,12,Medium,Inference,456,528,E,100342,Medium,0.35,Long Passage; Humanities
514,RC,12,Medium,Evaluation,456,529,A,100343,Very Hard,0.85,Long Passage; Humanities
515,RC,13,Medium,Main Idea,457,530,D,102082,Medium,0.25,Social Science; Long Passage
516,RC,13,Medium,Evaluation,457,530,E,102083,Hard,0.55,Social Science; Long Passage
517,RC,14,Medium,Inference,458,531,B,100560,Medium,0.45,Short Passage; Business
518,RC,14,Medium,Evaluation,458,532,C,100561,Medium,0.45,Short Passage; Business
519,RC,14,Medium,Inference,459,532,C,100562,Easy,0.05,Short Passage; Business
520,RC,14,Medium,Evaluation,459,533,A,100563,Easy,0.05,Short Passage; Business
521,RC,14,Medium,Supporting Idea,459,534,D,100564,Medium,0.25,Short Passage; Business
522,RC,15,Medium,Supporting Idea,460,534,D,100573,Easy,0.15,Science; Short Passage
523,RC,15,Medium,Inference,460,535,C,100574,Medium,0.35,Science; Short Passage
524,RC,15,Medium,Application,460,536,E,100575,Medium,0.25,Science; Short Passage
525,RC,15,Medium,Inference,460,536,A,100576,Easy,0.15,Science; Short Passage
526,RC,15,Medium,Inference,461,536,C,100577,Easy,0.15,Science; Short Passage
527,RC,16,Medium,Supporting Idea,462,537,D,100545,Easy,0.05,Short Passage; Humanities
528,RC,16,Medium,Supporting Idea,462,538,E,100546,Medium,0.25,Short Passage; Humanities
529,RC,16,Medium,Application,463,538,A,100547,Very Hard,0.85,Short Passage; Humanities
530,RC,16,Medium,Evaluation,463,539,B,100548,Medium,0.35,Short Passage; Humanities
531,RC,16,Medium,Supporting Idea,463,539,C,100549,Medium,0.25,Short Passage; Humanities
532,RC,17,Medium,Inference,464,540,A,102084,Easy,0.15,Science; Long Passage
533,RC,17,Medium,Supporting Idea,464,541,E,102085,Easy,0.15,Science; Long Passage
534,RC,17,Medium,Supporting Idea,464,541,D,102086,Easy,0.15,Science; Long Passage
535,RC,17,Medium,Evaluation,465,542,C,102087,Medium,0.35,Science; Long Passage
536,RC,17,Medium,Evaluation,465,543,B,102088,Medium,0.35,Science; Long Passage (OA typo in OG)
537,RC,18,Medium,Inference,466,543,C,100466,Medium,0.25,Business; Long Passage
538,RC,18,Medium,Inference,466,544,E,100467,Easy,0.05,Business; Long Passage
539,RC,18,Medium,Evaluation,466,545,A,100468,Easy,0.15,Business; Long Passage
540,RC,18,Medium,Application,467,545,D,100469,Medium,0.35,Business; Long Passage
541,RC,18,Medium,Main Idea,467,546,A,100470,Medium,0.25,Business; Long Passage
542,RC,19,Medium,Supporting Idea,468,546,A,100493,Medium,0.25,Science
543,RC,19,Medium,Application,468,547,E,100494,Easy,0.05,Science
544,RC,19,Medium,Evaluation,469,547,A,100495,Medium,0.35,Science
545,RC,19,Medium,Evaluation,469,548,D,100496,Hard,0.55,Science
546,RC,20,Medium,Main Idea,470,548,D,100537,Easy,0.15,Business; Social Science; Short Passage
547,RC,20,Medium,Inference,470,549,D,100538,Easy,0.05,Business; Social Science; Short Passage
548,RC,20,Medium,Application,471,549,B,100539,Hard,0.55,Business; Social Science; Short Passage
549,RC,21,Medium,Inference,472,550,B,100507,Medium,0.35,Business; Short Passage
550,RC,21,Medium,Supporting Idea,472,551,C,100508,Medium,0.25,Business; Short Passage
551,RC,21,Medium,Evaluation,473,551,C,100509,Easy,0.15,Business; Short Passage
552,RC,21,Medium,Main Idea,473,552,E,100510,Medium,0.25,Business; Short Passage
553,RC,22,Medium,Main Idea,474,552,C,100327,Medium,0.45,Business; Short Passage
554,RC,22,Medium,Inference,474,553,D,100328,Hard,0.65,Business; Short Passage
555,RC,22,Medium,Evaluation,475,553,B,100329,Medium,0.45,Business; Short Passage
556,RC,22,Medium,Inference,475,554,C,100330,Medium,0.35,Business; Short Passage
557,RC,23,Medium,Supporting Idea,476,555,C,101102,Medium,0.25,Social Science; Long Passage
558,RC,23,Medium,Evaluation,476,555,C,101103,Medium,0.45,Social Science; Long Passage
559,RC,23,Medium,Supporting Idea,476,556,B,101104,Medium,0.25,Social Science; Long Passage
560,RC,23,Medium,Inference,477,556,B,101105,Medium,0.45,Social Science; Long Passage
561,RC,24,Medium,Main Idea,478,557,E,101106,Easy,0.15,Short Passage; Social Science
562,RC,24,Medium,Logical Structure,478,557,E,101107,Easy,0.05,Short Passage; Social Science
563,RC,24,Medium,Inference,479,558,D,101108,Medium,0.45,Short Passage; Social Science
564,RC,25,Hard,Main Idea,480,559,E,102089,Easy,0.15,Science; Long Passage
565,RC,25,Hard,Inference,480,559,D,102090,Hard,0.65,Science; Long Passage
566,RC,25,Hard,Evaluation,481,560,B,102091,Medium,0.35,Science; Long Passage
567,RC,25,Hard,Logical Structure,481,560,C,102092,Very Hard,0.75,Science; Long Passage
568,RC,25,Hard,Supporting Idea,481,561,E,102093,Hard,0.55,Science; Long Passage
569,RC,26,Hard,Inference,482,562,E,100611,Medium,0.35,Humanities; Short Passage
570,RC,26,Hard,Evaluation,483,563,A,100612,Easy,0.05,Humanities; Short Passage
571,RC,26,Hard,Main Idea,483,564,B,100613,Hard,0.55,Humanities; Short Passage
572,RC,27,Hard,Evaluation,484,564,D,100579,Very Hard,0.95,Long Passage; Social Science
573,RC,27,Hard,Inference,485,565,E,100584,Hard,0.55,Long Passage; Social Science
574,RC,27,Hard,Inference,485,565,E,100580,Easy,0.05,Long Passage; Social Science
575,RC,27,Hard,Evaluation,485,566,D,100582,Easy,0.05,Long Passage; Social Science
576,RC,27,Hard,Main Idea,485,566,B,100581,Medium,0.45,Long Passage; Social Science
577,RC,27,Hard,Inference,485,567,C,100583,Hard,0.55,Long Passage; Social Science
578,RC,28,Hard,Evaluation,486,568,D,102094,Medium,0.45,Social Science; Short Passage
579,RC,28,Hard,Inference,486,568,C,102095,Very Hard,0.75,Social Science; Short Passage
580,RC,28,Hard,Main Idea,486,569,A,102096,Easy,0.15,Social Science; Short Passage
581,RC,29,Hard,Main Idea,487,569,A,100497,Medium,0.45,Science; Long Passage
582,RC,29,Hard,Inference,487,570,D,100498,Medium,0.35,Science; Long Passage
583,RC,29,Hard,Inference,487,570,E,100499,Hard,0.55,Science; Long Passage
584,RC,29,Hard,Application,488,571,D,100500,Easy,0.15,Science; Long Passage
585,RC,29,Hard,Evaluation,488,572,B,100501,Easy,0.15,Science; Long Passage
586,RC,29,Hard,Evaluation,488,572,C,100502,Medium,0.35,Science; Long Passage
587,RC,30,Hard,Supporting Idea,489,573,A,100607,Medium,0.35,Short Passage; Science
